gene	drug	score	types	sources
BRAF	ALPELISIB	0.0656181687933257		CKB-CORE,CIViC,CGI
BRAF	SARACATINIB	0.0656181687933257		CKB-CORE
BRAF	CI-1040	0.06014998806054855		CKB-CORE
BRAF	ENZALUTAMIDE	0.03207999363229256		CKB-CORE
BRAF	PONATINIB	0.03007499403027428		CIViC,CKB-CORE
TP53	SIREMADLIN	0.05753477118835079	inhibitor	ChEMBL
TP53	AZD7648	0.04602781695068064		CKB-CORE
TP53	DINOSEB	0.02876738559417539		DTC
TP53	PIRARUBICIN	0.0255710094170448		CKB-CORE
TP53	CHEMBL:CHEMBL260451	0.02301390847534032		DTC
TP53	RIMCAZOLE	0.02301390847534032		DTC
TP53	CAPIVASERTIB	0.0209217349775821		CKB-CORE
TP53	CHEMBL:CHEMBL260560	0.01438369279708769		DTC
TP53	TRACAZOLATE	0.01438369279708769		DTC
TP53	OXALIPLATIN	0.01122629681723918		PharmGKB,CIViC
TP53	CARBOPLATIN	0.01046086748879105		CKB-CORE,CIViC
TP53	MELPHALAN	0.006056291704036925		DTC
TP53	LAPACHONE	0.005003023581595721		DTC
TP53	VITAMIN K3	0.00396791525436902		DTC
TP53	DAUNORUBICIN HYDROCHLORIDE	0.003486955829597018		DTC
